;City;Place found;Latitude;Longitude;Obscuration;Magnitude
67;Buk;Buk, gmina Buk, powiat poznański, województwo wielkopolskie, Polska;52.3574;16.5167;11.7;0.219
68;Bukowno ;Bukowno, powiat olkuski, województwo małopolskie, 32-332, Polska;50.2698;19.4638;6.8;0.151
69;Busko-Zdrój ;Busko-Zdrój, gmina Busko-Zdrój, powiat buski, województwo świętokrzyskie, 28-100, Polska;50.4676;20.7192;6.8;0.151
70;Bychawa ;Bychawa, gmina Bychawa, powiat lubelski, województwo lubelskie, 23-100, Polska;51.0152;22.5345;7.3;0.158
71;Byczyna ;Byczyna, gmina Byczyna, powiat kluczborski, województwo opolskie, 46-220, Polska;51.1142;18.2143;8.7;0.179
72;Bydgoszcz ;Bydgoszcz, województwo kujawsko-pomorskie, Polska;53.1220;18.0003;12.7;0.232
73;Bystrzyca Kłodzka ;Bystrzyca Kłodzka, gmina Bystrzyca Kłodzka, powiat kłodzki, województwo dolnośląskie, 57-500, Polska;50.2969;16.6520;7.8;0.166
74;Bytom ;Bytom, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, Polska;50.3470;18.9232;7.1;0.155
75;Bytom Odrzański ;Bytom Odrzański, gmina Bytom Odrzański, powiat nowosolski, województwo lubuskie, Polska;51.7308;15.8269;10.8;0.207
76;Bytów ;Bytów, gmina Bytów, powiat bytowski, województwo pomorskie, Polska;54.1689;17.4923;15.1;0.260
77;Cedynia ;Cedynia, gmina Cedynia, powiat gryfiński, województwo zachodniopomorskie, Polska;52.8786;14.2026;13.8;0.245
78;Chełm ;Chełm, województwo lubelskie, Polska;51.1339;23.4712;7.3;0.158
79;Chełmek ;Chełmek, gmina Chełmek, powiat oświęcimski, województwo małopolskie, 32-660, Polska;50.1003;19.2543;6.5;0.147
80;Chełmno ;Chełmno, powiat chełmiński, województwo kujawsko-pomorskie, 86-200, Polska;53.3494;18.4235;13.0;0.236
81;Chełmża ;Chełmża, powiat toruński, województwo kujawsko-pomorskie, 87-140, Polska;53.1860;18.6113;12.6;0.231
82;Chęciny ;Chęciny, gmina Chęciny, powiat kielecki, województwo świętokrzyskie, Polska;50.8001;20.4622;7.4;0.16
83;Chmielnik;Chmielnik, gmina Chmielnik, powiat kielecki, województwo świętokrzyskie, Polska;50.6146;20.7510;7.0;0.154
84;Chocianów ;Chocianów, gmina Chocianów, powiat polkowicki, województwo dolnośląskie, Polska;51.4168;15.8987;10.2;0.199
85;Chociwel ;Chociwel, gmina Chociwel, powiat stargardzki, województwo zachodniopomorskie, 73-120, Polska;53.4664;15.3314;14.5;0.253
86;Chocz ;Chocz, gmina Chocz, powiat pleszewski, województwo wielkopolskie, 63-313, Polska;51.9751;17.8707;10.5;0.203
87;Chodecz ;Chodecz, gmina Chodecz, powiat włocławski, województwo kujawsko-pomorskie, Polska;52.4052;19.0273;10.9;0.209
88;Chodzież ;Chodzież, powiat chodzieski, województwo wielkopolskie, 64-800, Polska;52.9887;16.9160;12.9;0.233
89;Chojna ;Chojna, gmina Chojna, powiat gryfiński, województwo zachodniopomorskie, 74-500, Polska;52.9630;14.4314;13.8;0.245
90;Chojnice ;Chojnice, powiat chojnicki, województwo pomorskie, Polska;53.6953;17.5615;14.1;0.248
91;Chojnów ;Chojnów, powiat legnicki, województwo dolnośląskie, 59-225, Polska;51.2723;15.9335;9.9;0.195
92;Choroszcz ;Choroszcz, gmina Choroszcz, powiat białostocki, województwo podlaskie, 16-070, Polska;53.1439;22.9885;11.2;0.213
93;Chorzele ;Chorzele, gmina Chorzele, powiat przasnyski, województwo mazowieckie, Polska;53.2610;20.8979;12.0;0.223
94;Chorzów ;Chorzów, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, Polska;50.2979;18.9544;7.0;0.154
95;Choszczno ;Choszczno, gmina Choszczno, powiat choszczeński, województwo zachodniopomorskie, 73-200, Polska;53.1705;15.4167;13.8;0.245
96;Chrzanów ;Chrzanów, gmina Chrzanów, powiat chrzanowski, województwo małopolskie, 32-500, Polska;50.1412;19.4029;6.6;0.148
97;Ciechanowiec ;Ciechanowiec, gmina Ciechanowiec, powiat wysokomazowiecki, województwo podlaskie, Polska;52.6788;22.4991;10.4;0.202
98;Ciechanów ;Ciechanów, powiat ciechanowski, województwo mazowieckie, Polska;52.8820;20.6191;11.4;0.214
99;Ciechocinek ;Ciechocinek, powiat aleksandrowski, województwo kujawsko-pomorskie, 87-720, Polska;52.8826;18.7907;11.9;0.222
100;Cieszanów ;Cieszanów, gmina Cieszanów, powiat lubaczowski, województwo podkarpackie, 37-611, Polska;50.2454;23.1301;5.8;0.135
101;Cieszyn ;Cieszyn, powiat cieszyński, województwo śląskie, 43-400, Polska;49.7489;18.6334;6.1;0.141
102;Ciężkowice ;Ciężkowice, gmina Ciężkowice, powiat tarnowski, województwo małopolskie, 33-190, Polska;49.7865;20.9738;5.5;0.131
103;Cybinka ;Cybinka, gmina Cybinka, powiat słubicki, województwo lubuskie, Polska;52.1940;14.7969;12.1;0.224
104;Czaplinek ;Czaplinek, gmina Czaplinek, powiat drawski, województwo zachodniopomorskie, 78-550, Polska;53.5607;16.2319;14.3;0.251
105;Czarna Białostocka ;Czarna Białostocka, gmina Czarna Białostocka, powiat białostocki, województwo podlaskie, 16-020, Polska;53.2983;23.2851;11.5;0.216
106;Czarna Woda;Czarna Woda, gmina Czarna Woda, powiat starogardzki, województwo pomorskie, 83-262, Polska;53.8442;18.0984;14.2;0.25
107;Czarne ;Czarne, gmina Czarne, powiat człuchowski, województwo pomorskie, Polska;53.6835;16.9422;14.3;0.251
108;Czarnków ;Czarnków, powiat czarnkowsko-trzcianecki, województwo wielkopolskie, 64-700, Polska;52.9050;16.5640;12.8;0.233
109;Czchów ;Czchów, gmina Czchów, powiat brzeski, województwo małopolskie, 32-860, Polska;49.8339;20.6731;5.7;0.134
110;Czechowice-Dziedzice ;Czechowice-Dziedzice, gmina Czechowice-Dziedzice, powiat bielski, województwo śląskie, Polska;49.9112;19.0076;6.3;0.144
111;Czeladź;Czeladź, powiat będziński, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, Polska;50.3185;19.0737;7.0;0.154
112;Czempiń ;Czempiń, gmina Czempiń, powiat kościański, województwo wielkopolskie, 64-020, Polska;52.1431;16.7613;11.2;0.213
113;Czerniejewo ;Czerniejewo, gmina Czerniejewo, powiat gnieźnieński, województwo wielkopolskie, 62-250, Polska;52.4296;17.4894;11.5;0.216
114;Czersk ;Czersk, gmina Czersk, powiat chojnicki, województwo pomorskie, 89-650, Polska;53.7962;17.9756;14.1;0.249
115;Czerwieńsk ;Czerwieńsk, gmina Czerwieńsk, powiat zielonogórski, województwo lubuskie, Polska;52.0131;15.4211;11.5;0.216
116;Czerwionka-Leszczyny ;Czerwionka-Leszczyny, gmina Czerwionka-Leszczyny, powiat rybnicki, województwo śląskie, Polska;50.1450;18.6532;6.8;0.151
117;Czerwińsk nad Wisłą;Czerwińsk nad Wisłą, gmina Czerwińsk nad Wisłą, powiat płoński, województwo mazowieckie, Polska;52.3968;20.3096;10.5;0.203
118;Częstochowa ;Częstochowa, województwo śląskie, Polska;50.8120;19.1132;7.8;0.167
119;Człopa ;Człopa, gmina Człopa, powiat wałecki, województwo zachodniopomorskie, 78-630, Polska;53.0885;16.1201;13.4;0.24
120;Człuchów ;Człuchów, powiat człuchowski, województwo pomorskie, 77-300, Polska;53.6651;17.3588;14.1;0.248
121;Czyżew ;Czyżew, gmina Czyżew, powiat wysokomazowiecki, województwo podlaskie, Polska;52.7976;22.3123;10.7;0.206
122;Ćmielów ;Ćmielów, gmina Ćmielów, powiat ostrowiecki, województwo świętokrzyskie, 27-440, Polska;50.8918;21.5101;7.3;0.159
123;Daleszyce ;Daleszyce, gmina Daleszyce, powiat kielecki, województwo świętokrzyskie, Polska;50.8020;20.8066;7.3;0.159
124;Darłowo ;Darłowo, powiat sławieński, województwo zachodniopomorskie, Polska;54.4225;16.4093;16.1;0.272
125;Dąbie ;Dąbie, gmina Dąbie, powiat kolski, województwo wielkopolskie, 62-660, Polska;52.0872;18.8221;10.4;0.201
126;Dąbrowa Białostocka ;Dąbrowa Białostocka, gmina Dąbrowa Białostocka, powiat sokólski, województwo podlaskie, 16-200, Polska;53.6544;23.3485;12.2;0.225
127;Dąbrowa Górnicza ;Dąbrowa Górnicza, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, Polska;50.3309;19.2079;7.0;0.154
128;Dąbrowa Tarnowska ;Dąbrowa Tarnowska, gmina Dąbrowa Tarnowska, powiat dąbrowski, województwo małopolskie, 33-200, Polska;50.1743;20.9851;6.2;0.142
129;Debrzno ;Debrzno, gmina Debrzno, powiat człuchowski, województwo pomorskie, Polska;53.5386;17.2339;13.9;0.246
130;Dębica ;Dębica, powiat dębicki, województwo podkarpackie, 39-200, Polska;50.0515;21.4105;5.8;0.137
131;Dęblin ;Dęblin, powiat rycki, województwo lubelskie, Polska;51.5625;21.8654;8.4;0.175
132;Dębno ;Dębno, gmina Dębno, powiat myśliborski, województwo zachodniopomorskie, 74-400, Polska;52.7397;14.7015;13.3;0.238
133;Dobczyce ;Dobczyce, gmina Dobczyce, powiat myślenicki, województwo małopolskie, 32-410, Polska;49.8803;20.0905;5.9;0.138
134;Dobiegniew ;Dobiegniew, gmina Dobiegniew, powiat strzelecko-drezdenecki, województwo lubuskie, Polska;52.9668;15.7548;13.3;0.239
135;Dobra (powiat łobeski) ;Dobra, gmina Dobra, powiat łobeski, województwo zachodniopomorskie, Polska;53.5847;15.3073;14.7;0.256
136;Dobra (powiat turecki) ;Dobra, gmina Dobra, powiat turecki, województwo wielkopolskie, Polska;51.9160;18.6152;10.1;0.198
137;Dobre Miasto ;Dobre Miasto, gmina Dobre Miasto, powiat olsztyński, województwo warmińsko-mazurskie, 11-040, Polska;53.9869;20.3973;13.7;0.244
138;Dobrodzień ;Dobrodzień, gmina Dobrodzień, powiat oleski, województwo opolskie, 46-380, Polska;50.7289;18.4443;7.9;0.168
139;Dobrzany ;Dobrzany, gmina Dobrzany, powiat stargardzki, województwo zachodniopomorskie, 73-130, Polska;53.3583;15.4299;14.2;0.25
140;Dobrzyca ;Dobrzyca, gmina Dobrzyca, powiat pleszewski, województwo wielkopolskie, 63-330, Polska;51.8668;17.6026;10.4;0.201
141;Dobrzyń nad Wisłą ;Dobrzyń nad Wisłą, gmina Dobrzyń nad Wisłą, powiat lipnowski, województwo kujawsko-pomorskie, Polska;52.6375;19.3214;11.3;0.213
142;Dolsk ;Dolsk, gmina Dolsk, powiat śremski, województwo wielkopolskie, 63-140, Polska;51.9866;17.0654;10.8;0.207
143;Drawno ;Drawno, gmina Drawno, powiat choszczeński, województwo zachodniopomorskie, Polska;53.2189;15.7580;13.8;0.245
144;Drawsko Pomorskie ;Drawsko Pomorskie, gmina Drawsko Pomorskie, powiat drawski, województwo zachodniopomorskie, 78-500, Polska;53.5311;15.8134;14.4;0.252
145;Drezdenko ;Drezdenko, gmina Drezdenko, powiat strzelecko-drezdenecki, województwo lubuskie, Polska;52.8397;15.8323;13.0;0.235
146;Drobin ;Drobin, gmina Drobin, powiat płocki, województwo mazowieckie, Polska;52.7378;19.9893;11.3;0.213
147;Drohiczyn;Drohiczyn, gmina Drohiczyn, powiat siemiatycki, województwo podlaskie, Polska;52.3966;22.6588;9.8;0.194
148;Drzewica;Drzewica, gmina Drzewica, powiat opoczyński, województwo łódzkie, Polska;51.4508;20.4774;8.6;0.178
149;Dubiecko ;Dubiecko, gmina Dubiecko, powiat przemyski, województwo podkarpackie, 37-750, Polska;49.8253;22.3916;5.2;0.127
150;Dukla ;Dukla, gmina Dukla, powiat krośnieński, województwo podkarpackie, Polska;49.5564;21.6848;5.0;0.122
151;Duszniki-Zdrój ;Duszniki-Zdrój, powiat kłodzki, województwo dolnośląskie, 57-340, Polska;50.3703;16.3785;8.0;0.169
152;Dynów ;Dynów, powiat rzeszowski, województwo podkarpackie, 36-065, Polska;49.8135;22.2338;5.2;0.127
153;Działdowo ;Działdowo, powiat działdowski, województwo warmińsko-mazurskie, 13-201, Polska;53.2347;20.1818;12.2;0.225
154;Działoszyce ;Działoszyce, gmina Działoszyce, powiat pińczowski, województwo świętokrzyskie, Polska;50.3655;20.3521;6.7;0.149
155;Działoszyn ;Działoszyn, gmina Działoszyn, powiat pajęczański, województwo łódzkie, 98-355, Polska;51.1168;18.8652;8.5;0.176
156;Dzierzgoń ;Dzierzgoń, gmina Dzierzgoń, powiat sztumski, województwo pomorskie, Polska;53.9239;19.3479;13.9;0.246
157;Dzierżoniów ;Dzierżoniów, powiat dzierżoniowski, województwo dolnośląskie, Polska;50.7284;16.6506;8.6;0.177
158;Dziwnów ;Dziwnów, gmina Dziwnów, powiat kamieński, województwo zachodniopomorskie, 72-420, Polska;54.0251;14.7526;15.9;0.27
159;Elbląg ;Elbląg, województwo warmińsko-mazurskie, 82-300, Polska;54.1559;19.4045;14.4;0.252
160;Ełk ;Ełk, powiat ełcki, województwo warmińsko-mazurskie, Polska;53.8248;22.3616;12.8;0.233
161;Frampol ;Frampol, gmina Frampol, powiat biłgorajski, województwo lubelskie, Polska;50.6718;22.6699;6.6;0.148
162;Frombork ;Frombork, gmina Frombork, powiat braniewski, województwo warmińsko-mazurskie, Polska;54.3584;19.6824;14.7;0.256
163;Garwolin ;Garwolin, powiat garwoliński, województwo mazowieckie, 08-400, Polska;51.8973;21.6150;9.1;0.185
164;Gąbin ;Gąbin, gmina Gąbin, powiat płocki, województwo mazowieckie, 09-530, Polska;52.3994;19.7307;10.7;0.206
165;Gdańsk ;Gdańsk, województwo pomorskie, Polska;54.3476;18.6452;15.1;0.26
166;Gdynia ;Gdynia, województwo pomorskie, Polska;54.5165;18.5403;15.5;0.265
167;Giżycko ;Giżycko, powiat giżycki, województwo warmińsko-mazurskie, Polska;54.0401;21.7713;13.4;0.24
168;Glinojeck ;Glinojeck, gmina Glinojeck, powiat ciechanowski, województwo mazowieckie, 06-450, Polska;52.8192;20.2863;11.3;0.214
169;Gliwice ;Gliwice, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, Polska;50.2941;18.6657;7.1;0.155
170;Głogów ;Głogów, powiat głogowski, województwo dolnośląskie, 67-200, Polska;51.6637;16.0936;10.5;0.204
171;Głogów Małopolski ;Głogów Małopolski, gmina Głogów Małopolski, powiat rzeszowski, województwo podkarpackie, Polska;50.1512;21.9628;5.9;0.137
